Uniprot_A	Uniprot_B	Alt_A	Alt_B	Gene_A	Gene_B	pmid:method:quality
P61326	Q9Y5S9	4116	9939	MAGOH	RBM8A	11696323:0018:LC|11707413:0493:LC|25416956:0018:HT|10662555:0493:LC|11707413:0492:LC|10662555:0096:LC|16923391:0071:LC|22365833:0018:HT|12730685:0096:LC|12781131:0029:LC|25416956:1112:HT|25416956:0397:HT|10662555:0018:LC|16923391:0114:LC|25416956:1356:HT|10662555:0027:LC|11707413:0096:LC|11696323:0493:LC|11707413:0018:LC|11707413:0004:LC|12781131:0055:LC|10662555:0024:LC|12730685:0492:LC|12730685:0018:LC|10662555:0492:LC|11696323:0492:LC|12730685:0493:LC|12781131:0114:LC
P61328	Q13387	2257	23542	FGF12	MAPK8IP2	25814554:0397:LC|25814554:0018:LC|11378392:0493:LC|11378392:0018:LC|11378392:0004:LC
P61328	Q14524	2257	6331	FGF12	SCN5A	22705208:0065:LC|25232683:0114:LC|22705208:0096:LC
P61371	Q9NVW2	3670	51132	ISL1	RLIM	10431247:0492:LC|11882901:0492:LC
P61457	P61457	5092	5092	PCBD1	PCBD1	16189514:0398:HT|16189514:0096:HT|21516116:0018:HT|11461190:0018:LC|25416956:0397:HT|25416956:0018:HT|16189514:0018:HT|16189514:0004:HT|21047120:0114:LC
P61586	P61586	387	387	RHOA	RHOA	10489445:0114:LC|9748241:0091:LC|PDB_4XH9:0114:LC|9194563:0114:LC
P61586	Q07960	387	392	RHOA	ARHGAP1	9548756:0415:LC|16189514:0398:HT|11927263:0114:LC|16189514:0018:HT|9338791:0114:LC|9548756:0492:LC|9548756:0096:LC
P61586	Q12802	387	11214	RHOA	AKAP13	25186459:0114:LC
P61586	Q13459	387	4650	RHOA	MYO9B	27363609:0114:LC
P61586	Q13464	387	6093	RHOA	ROCK1	14660612:0114:LC|8798490:0492:LC|12773565:0018:LC|12773565:0096:LC|12773565:0004:LC|8798490:0018:LC|8798490:0047:LC
P61586	Q16512	387	5585	RHOA	PKN1	9446575:0018:LC|12773565:0096:LC|9446575:0096:LC|12773565:0018:LC|9446575:0492:LC|9446575:0493:LC|10619026:0114:LC|9446575:0047:LC|10619026:0492:LC|10619026:0493:LC
P61586	Q7Z628	387	10276	RHOA	NET1	9535835:0018:LC|PDB_4XH9:0114:LC
P61586	Q86T64	387		RHOA	DKFZP451F1115	12857875:0415:LC|12454018:0415:LC|12446789:0415:LC
P61586	Q86UP2	387	3895	RHOA	KTN1	11689693:0493:LC|8769096:0018:LC|12773565:0018:LC|11162552:0018:LC|8769096:0493:LC|8769096:0492:LC|11689693:0018:LC|11689693:0492:LC
P61586	Q969H4	387	10256	RHOA	CNKSR1	15670823:0007:LC|15670823:0493:LC|15670823:0492:LC|14749388:0493:LC|14749388:0492:LC|14749388:0047:LC|14749388:0019:LC|14749388:0018:LC|15670823:0018:LC|15670823:0012:LC
P61586	Q9BST9	387	6242	RHOA	RTKN	14506264:0492:LC|8662891:0018:LC|8662891:0024:LC|8662891:0492:LC|14506264:0018:LC
P61586	Q9HAU4	387	64750	RHOA	SMURF2	17719543:0415:LC|21402695:0415:LC
P61586	Q9NQW6	387	54443	RHOA	ANLN	25959226:0114:LC
P61586	Q9NZN5	387	23365	RHOA	ARHGEF12	15364580:0114:LC|15331592:0114:LC
P61586	Q9P2F6	387	57569	RHOA	ARHGAP20	PDB_3MSX:0114:LC
P61587	P63104	390	7534	RND3	YWHAZ	23622247:0096:LC|23622247:0107:LC|23622247:0065:LC|23622247:0114:LC
P61587	Q13464	390	6093	RND3	ROCK1	12773565:0096:LC|12773565:0024:LC|12773565:0493:LC|12773565:0018:LC|12773565:0492:LC|18946488:0114:LC
P61601	Q1KLZ0	83988		NCALD	PS1TP5BP1	16189514:0004:HT|11964161:0493:LC
P61626	P61626	4069	4069	LYZ	LYZ	24308818:0114:LC|23353684:0040:LC|11599030:0114:LC|23353684:0051:LC|PDB_1BB4:0114:LC|10556244:0114:LC|10350481:0114:LC|PDB_1BB3:0114:LC|PDB_1BB5:0114:LC|21408218:0114:LC|23353684:0067:LC|7990138:0114:LC|9852096:0114:LC|11340658:0114:LC|10504240:0114:LC
P61758	Q9UHV9	7411	5202	VBP1	PFDN2	14634002:0401:LC|14634002:0492:LC|25036637:0729:LC
P61764	Q02410	6812	320	STXBP1	APBA1	15563604:0493:LC|9395480:0493:LC|15563604:0492:LC|15563604:0096:LC|9395480:0018:LC|15563604:0018:LC|9395480:0492:LC
P61764	Q16623	6812	6804	STXBP1	STX1A	10449403:0492:LC|8108429:0492:LC|9045631:0492:LC|10194441:0493:LC|15563604:0492:LC|15563604:0096:LC|10746715:0493:LC|15563604:0493:LC|9045631:0024:LC|17363971:0492:LC|10746715:0492:LC|17363971:0493:LC|10449403:0493:LC|8108429:0493:LC|9045631:0493:LC|10449403:0004:LC|10194441:0492:LC
P61764	Q53YE2	6812		STXBP1	STX3A	9045631:0492:LC|9045631:0493:LC|17363971:0492:LC|17363971:0493:LC
P61764	Q96C24	6812	94121	STXBP1	SYTL4	15563604:0493:LC|15563604:0492:LC|12590134:0004:LC|15563604:0096:LC|12590134:0492:LC|12590134:0493:LC
P61764	Q99767	6812	321	STXBP1	APBA2	15563604:0493:LC|9395480:0493:LC|15563604:0492:LC|15563604:0096:LC|9395480:0018:LC|15563604:0018:LC|9395480:0492:LC
P61769	P61769	567	567	B2M	B2M	21131979:0114:LC|18579777:0410:LC|17825839:0114:LC|21569201:0069:LC|18579777:0017:LC|21131979:0020:LC|22289140:0020:LC|19564620:0028:LC|24101382:0114:LC|PDB_4LCY:0114:LC|25049336:0114:LC|26795251:0114:LC|17108084:0825:LC|24695216:0114:LC|21220305:0017:LC|PDB_4M8V:0114:LC|12023961:0492:LC|19564620:0020:LC|17202356:0114:LC|21220305:0020:LC|17108084:0114:LC|20826442:0017:LC|26420657:0114:LC|23645685:0114:LC|19172750:0071:LC|21131979:0825:LC|17108084:1104:LC|12023961:0493:LC|PDB_3T8X:0114:LC|21131979:0071:LC|17108084:0872:LC|16491088:0114:LC|22289140:0051:LC|21569201:0051:LC|22645359:0114:LC|19564620:0017:LC|21569201:0040:LC|22575645:0051:LC|21220305:0114:LC|27183389:0114:LC|21131979:0808:LC|19564620:0077:LC|14698299:0114:LC|23846752:0114:LC|20826442:0114:LC|19172750:0114:LC|22575645:0020:LC|19172750:0017:LC|22289140:0114:LC|27150430:0114:LC|19564620:0872:LC|19172750:0028:LC|23213214:0114:LC
P61769	Q15113	567	5118	B2M	PCOLCE	24117177:0107:LC|18164932:0416:LC|18164932:0096:LC|18164932:0006:LC|18164932:0018:LC|18164932:0892:LC
P61769	Q29963	567	3107	B2M	HLA-C	10429675:0114:LC|24990997:0114:LC|11323700:0114:LC|2450918:0492:LC|10850706:0114:LC
P61769	Q30201	567	3077	B2M	HFE	10791995:0492:LC|10638746:0114:LC|9546397:0114:LC
P61769	Q31612	567	3106	B2M	HLA-B	PDB_1CG9:0114:LC|1525820:0114:LC|23161907:0114:LC|8624811:0114:LC|25855358:0114:LC|17057332:0114:LC|24829406:0114:LC|12244049:0114:LC|PDB_4LCY:0114:LC|20616031:0114:LC|14555655:0114:LC|20483993:0114:LC|15494511:0114:LC|23749632:0114:LC|25452463:0114:LC|19617632:0114:LC|20934997:0114:LC|22343629:0114:LC|12939341:0114:LC|26748477:0114:LC|22140258:0114:LC|16221670:0114:LC|PDB_3CZF:0114:LC|25480565:0114:LC|12530975:0114:LC|15537660:0114:LC|16951352:0114:LC|23521884:0114:LC|16081817:0114:LC|11738047:0492:LC|2450918:0492:LC|8624812:0114:LC|PDB_3SPV:0114:LC|PDB_3D18:0114:LC|22722860:0114:LC|24563253:0114:LC|PDB_4LNR:0114:LC|16148129:0114:LC|8976183:0114:LC|10975842:0114:LC|15713487:0114:LC|16963442:0114:LC|15849183:0114:LC|24509977:0114:LC|22645359:0114:LC|21280120:0114:LC|15657948:0114:LC|18270323:0114:LC|18650441:0114:LC|14734527:0114:LC|20566715:0114:LC|18549801:0114:LC|20212169:0114:LC|PDB_3DTX:0114:LC|19139173:0114:LC|3878413:0114:LC|12391232:0114:LC|24759101:0114:LC|15226359:0114:LC|PDB_3HCV:0114:LC|25808313:0114:LC|27045007:0114:LC|9878435:0114:LC|23569211:0114:LC|20064448:0114:LC|17259989:0114:LC|22323539:0114:LC|18540051:0114:LC|16275762:0114:LC
P61769	Q6PJ56	567		B2M	TRA@	9586631:0114:LC
P61769	Q8N423	567	10288	B2M	LILRB2	17056715:0114:LC
P61769	Q8NHL6	567	10859	B2M	LILRB1	12897781:0114:LC|PDB_4NO0:0114:LC|12897781:0492:LC
P61769	Q95460	567	3140	B2M	MR1	23051753:0226:LC|24101382:0114:LC|23846752:0114:LC|23051753:0114:LC|23051753:0071:LC|25049336:0114:LC|26795251:0114:LC|24695216:0114:LC
P61769	Q9MY34	567		B2M	HLAC	16478731:0114:LC|10023771:0114:LC
P61769	Q9MYI6	567		B2M	HLA-B57	16951352:0114:LC
P61812	P61812	7042	7042	TGFB2	TGFB2	25209176:0114:LC
P61812	Q03167	7042	7049	TGFB2	TGFBR3	7852346:0030:LC|9312157:0019:LC
P61923	Q9Y678	22818	22820	COPZ1	COPG1	11056392:0492:LC|11056392:0493:LC|11056392:0018:LC|9482852:0019:LC|9482852:0045:LC|8858162:0018:LC|9482852:0004:LC
P61956	P61956	6613	6613	SUMO2	SUMO2	24844634:0114:LC|11451954:0004:LC|11451954:0493:LC|11451954:0492:LC|11451954:0096:LC
P61956	P63279	6613	7329	SUMO2	UBE2I	12924945:0024:LC|11451954:0493:LC|12924945:0492:LC|24969970:0415:LC|12924945:0493:LC|11451954:0415:LC|16524884:0096:LC|22194619:0114:LC|17938407:0415:LC|17491593:0493:LC|17491593:0071:LC|21949651:0018:LC|16620772:0493:LC|17491593:0096:LC|16524884:0018:LC|17491593:0492:LC|11451954:0492:LC|16620772:0004:LC|17491593:0004:LC|17491593:0415:LC|16620772:0492:LC
P61956	P78317	6613	6047	SUMO2	RNF4	23530056:0415:LC|26950370:0415:LC|23560854:0415:LC|24844634:0114:LC|24969970:0415:LC|18408734:0415:LC|18408734:0096:LC|24969970:0096:LC|24844634:0096:LC|20943951:0055:LC
P61956	Q13569	6613	6996	SUMO2	TDG	11889051:0492:LC|11889051:0493:LC|11889051:0415:LC|16524884:0018:LC|16620772:0004:LC|16626738:0114:LC|16620772:0492:LC|16620772:0493:LC
P61956	Q5W0Q7	6613	10208	SUMO2	USPL1	22878415:0096:LC|22878415:0007:LC|21988832:0018:HT|22878415:0415:LC
P61956	Q6VMQ6	6613	55729	SUMO2	ATF7IP	18842587:0114:LC
P61956	Q6ZMK3	6613		SUMO2	FLJ00340	16524884:0018:LC|17000644:0493:LC|21988832:0018:HT|16524884:0096:LC
P61956	Q8N2W9	6613	51588	SUMO2	PIAS4	15383276:0018:HT|15383276:0004:HT|15383276:0492:HT|16524884:0018:LC|15383276:0096:HT
P61956	Q96RL1	6613	51720	SUMO2	UIMC1	26719330:0114:LC
P61956	Q9BSK3	6613		SUMO2	Q9BSK3	17099700:0114:LC|16620772:0493:LC|9556629:0493:LC
P61956	Q9HC62	6613	59343	SUMO2	SENP2	25416956:1112:HT|17099700:0114:LC|24424631:0114:LC|17099700:0415:LC|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT
P61956	Q9P0U3	6613	29843	SUMO2	SENP1	16553580:0096:LC|17099698:0096:LC|17099698:0065:LC|16553580:0114:LC|22878415:0415:LC|PDB_2IYD:0114:LC|17099698:0415:LC|16553580:0415:LC|17000875:0415:LC|17099698:0055:LC
P61956	Q9UER7	6613	1616	SUMO2	DAXX	21383010:0114:LC|16475184:0018:LC|17081986:0018:LC|17081986:0415:LC|16475184:0004:LC|21383010:0096:LC
P61956	Q9Y6X2	6613	10401	SUMO2	PIAS3	16524884:0018:LC|19217413:0018:LC|16524884:0096:LC
P61960	P61960	51569	51569	UFM1	UFM1	PDB_5HKH:0114:LC
P61964	P61964	11091	11091	WDR5	WDR5	PDB_4GM9:0114:LC|22266653:0114:LC|23210835:0114:LC|24788516:0114:LC|PDB_5EAL:0114:LC|PDB_3SMR:0114:LC|PDB_5EAM:0114:LC|16829959:0114:LC|PDB_2G99:0114:LC|22665483:0114:LC|16946699:0114:LC|21135039:0114:LC|PDB_5EAR:0114:LC
P61964	P68431	11091		WDR5	HIST1H3A|HIST1H3B|HIST1H3C|HIST1H3D|HIST1H3E|HIST1H3F|HIST1H3G|HIST1H3H|HIST1H3I|HIST1H3J	22231400:0114:LC|16829959:0114:LC|16600877:0114:LC|16946699:0053:LC|16946699:0114:LC|16946699:0065:LC|16829960:0114:LC|24788516:0065:LC
P61964	Q03164	11091	4297	WDR5	KMT2A	22665483:0686:LC|15960975:0007:LC|18840606:0096:LC|22665483:0114:LC|18840606:0071:LC|18840606:0114:LC|15960975:0492:LC|15960975:0004:LC|19556245:0028:LC|15960975:0096:LC|22665483:0004:LC|15199122:0492:LC|15960975:0493:LC|18840606:0107:LC|21220120:0114:LC|15199122:0401:LC|15199122:0493:LC|15199122:0004:LC|18829459:0114:LC
P61964	Q15291	11091	5929	WDR5	RBBP5	19556245:0028:LC|21220120:0065:LC|21220120:0096:LC|21220120:0686:LC|21220120:0114:LC
P61964	Q16695	11091	8290	WDR5	HIST3H3	21135039:0686:LC|21135039:0114:LC|21124902:0415:LC
P61964	Q7Z3B3	11091	284058	WDR5	KANSL1	24788516:0071:LC|24788516:0114:LC|24788516:0004:LC|24788516:0096:LC|24788516:0065:LC
P61964	Q8NEZ4	11091	58508	WDR5	KMT2C	22665483:0686:LC|22266653:0114:LC|22266653:0686:LC|22665483:0114:LC
P61964	Q9H9L4	11091	54934	WDR5	KANSL2	24788516:0401:LC|24788516:0096:LC|24788516:0071:LC|24788516:0114:LC|24788516:0065:LC
P61964	Q9UBL3	11091	9070	WDR5	ASH2L	19556245:0515:LC|15960975:0007:LC|19556245:0028:LC|15960975:0028:LC|17178841:0071:LC
P61964	Q9UMN6	11091	9757	WDR5	KMT2B	22266653:0114:LC|22266653:0686:LC|24788516:0065:LC
P61964	Q9UPS6	11091	23067	WDR5	SETD1B	22665483:0686:LC|22266653:0114:LC|22266653:0686:LC|22665483:0114:LC
P61968	Q86U70	8543	8861	LMO4	LDB1	12925972:0018:LC|25416956:1356:HT|25416956:1112:HT|12727888:0024:LC|12925972:0492:LC|9736723:0493:LC|15231748:0492:HT|15231748:0018:HT|9736723:0492:LC|25416956:0397:HT|25416956:0018:HT|15231748:0493:HT|9736723:0018:LC|12727888:0114:LC|12727888:0004:LC|12925972:0493:LC|9736723:0024:LC|12925972:0004:LC
P61968	Q99708	8543	5932	LMO4	RBBP8	11751867:0004:LC|25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT|11751867:0019:LC|11751867:0024:LC|11751867:0493:LC|11751867:0018:LC|11751867:0492:LC
P61970	P61970	10204	10204	NUTF2	NUTF2	19098896:0071:LC|25416956:0397:HT|25416956:0018:HT|19098896:0404:LC|12065398:0114:LC
P61970	P62826	10204	5901	NUTF2	RAN	9822603:0493:LC|9368653:0492:LC|25416956:0018:HT|10679025:0018:LC|8757804:0018:LC|8757804:0492:LC|9822603:0492:LC|25416956:1112:HT|25416956:0397:HT|10679025:0492:LC|9533885:0114:LC|9533885:0492:LC|10679025:0493:LC|25416956:1356:HT|19098896:0404:LC|9822603:0018:LC|9533885:0493:LC|9368653:0018:LC|9368653:0493:LC|8757804:0493:LC|9533885:0018:LC
P61978	P61978	3190	3190	HNRNPK	HNRNPK	16189514:0398:HT|22365833:0018:HT|16189514:0018:HT|16004877:0114:LC|10772858:0096:LC|10772858:0018:LC
P61978	Q07666	3190	10657	HNRNPK	KHDRBS1	12370808:0492:LC|12370808:0493:LC|21988832:0018:HT|12370808:0096:LC|22365833:0018:HT|12370808:0018:LC|12370808:0004:LC|12370808:0019:LC
P61978	Q8WWY3	3190	26121	HNRNPK	PRPF31	27107012:1356:LC|25416956:1112:HT|25416956:0397:HT|27107012:2215:LC|25416956:1356:HT
P61978	Q99873	3190	3276	HNRNPK	PRMT1	19101556:0096:LC|19101556:0515:LC|12183049:0415:LC|19101556:0007:LC
P61981	P61981	7532	7532	YWHAG	YWHAG	24055376:0114:LC|10559254:0493:LC|17085597:0069:LC|17085597:0114:LC
P61981	Q59FS6	7532		YWHAG	Q59FS6	16511560:0493:LC|16511572:0493:LC
P61981	Q92934	7532	572	YWHAG	BAD	20936779:0398:HT|10880354:0492:LC|20936779:0018:HT
P61981	Q9HC77	7532	55835	YWHAG	CENPJ	20936779:0398:HT|16516142:0493:LC|16516142:0492:LC|20936779:0018:HT|16516142:0019:LC
P61981	Q9Y2J2	7532	23136	YWHAG	EPB41L3	11996670:0004:LC|15116094:0493:LC|11996670:0492:LC|15116094:0492:LC|11996670:0018:LC|20936779:0398:HT|20936779:0018:HT|11996670:0493:LC|11996670:0096:LC
P61981	V9HW98	7532		YWHAG	HEL2	12507503:0492:LC|21988832:0018:HT|20936779:0018:HT
P62068	Q8TAF3	64854	57599	USP46	WDR48	26388029:0114:LC|26388029:0096:LC
P62070	P62070	22800	22800	RRAS2	RRAS2	PDB_2ERY:0114:LC
P62070	Q12967	22800	5900	RRAS2	RALGDS	11788587:0018:LC|21988832:0018:HT
P62070	Q13671	22800	9610	RRAS2	RIN1	19060904:0018:HT|11788587:0018:LC|11788587:0493:LC|19060904:0397:HT|19060904:0398:HT
P62070	Q8N4Y1	22800		RRAS2	Q8N4Y1	11788587:0018:LC|11788587:0493:LC|11788587:0492:LC|21988832:0018:HT
P62072	Q9Y5J7	26519	26520	TIMM10	TIMM9	14726512:0071:LC|14726512:0006:LC|16387659:0040:LC
P62081	Q00987	6201	4193	RPS7	MDM2	17310983:0096:LC|21988832:0018:HT|17310983:0004:LC|17310983:0018:LC|17310983:0007:LC|17310983:0006:LC
P62136	P62136	5499	5499	PPP1CA	PPP1CA	26095357:0114:LC|18992256:0114:LC|20694007:0114:LC|11588169:0492:LC|11588169:0493:LC|22962028:0114:LC|24591642:0114:LC|20305656:0114:LC
P62136	Q07817	5499	598	PPP1CA	BCL2L1	12115603:0004:LC|17274640:0678:LC|17274640:0004:LC|12115603:0493:LC|12115603:0096:LC
P62136	Q12972	5499	5511	PPP1CA	PPP1R8	22940584:0071:LC|22365833:0018:HT|22940584:0114:LC|15231748:0018:HT|22940584:0065:LC|22940584:0096:LC|22940584:0077:LC|22940584:0226:LC
P62136	Q13625	5499	7159	PPP1CA	TP53BP2	22321011:0018:LC|15231748:0018:HT
P62136	Q14678	5499	23189	PPP1CA	KANK1	15231748:0018:HT|22321011:0018:LC
P62136	Q4KMQ1	5499	286262	PPP1CA	TPRN	15231748:0018:HT|22321011:0018:LC
P62136	Q5JTV8	5499	26092	PPP1CA	TOR1AIP1	15231748:0018:HT|22321011:0018:LC
P62136	Q5SWA1	5499	84919	PPP1CA	PPP1R15B	15231748:0018:HT|22321011:0018:LC|21382349:0018:LC
P62136	Q5UIP0	5499	55183	PPP1CA	RIF1	15231748:0018:HT|22321011:0018:LC
P62136	Q6NYC8	5499	170954	PPP1CA	PPP1R18	17374523:0493:LC|22321011:0018:LC|17374523:0492:LC|17374523:0018:LC
P62136	Q6PJW8	5499	163882	PPP1CA	CNST	19389623:0096:LC|22321011:0018:LC|19389623:0047:LC
P62136	Q7Z5V6	5499	220004	PPP1CA	PPP1R32	19389623:0096:LC|19389623:0047:LC|21382349:0018:LC
P62136	Q7Z699	5499	161742	PPP1CA	SPRED1	15231748:0018:HT|22321011:0018:LC|19389623:0096:LC|19389623:0047:LC
P62136	Q8NF45	5499		PPP1CA	FLJ00353	15231748:0018:HT|22321011:0018:LC
P62136	Q8TEC5	5499	153769	PPP1CA	SH3RF2	19389623:0096:LC|19945436:0004:LC|22321011:0018:LC|19945436:0018:LC|19389623:0047:LC
P62136	Q8WUF5	5499	10848	PPP1CA	PPP1R13L	22321011:0018:LC|15231748:0018:HT
P62136	Q92934	5499	572	PPP1CA	BAD	17274640:0018:LC|17274640:0006:LC|10811615:0018:LC|10811615:0492:LC|17274640:0004:LC|10811615:0493:LC|17274640:0492:LC|17274640:0493:LC
P62136	Q96KQ4	5499	23368	PPP1CA	PPP1R13B	22321011:0018:LC|15231748:0018:HT
P62136	Q96KR7	5499	116154	PPP1CA	PHACTR3	12925532:0493:LC|12925532:0047:LC|15231748:0018:HT|22321011:0018:LC|15231748:0493:HT|12925532:0004:LC|12925532:0018:LC
P62136	Q96QC0	5499	5514	PPP1CA	PPP1R10	9461602:0018:LC|12914669:0018:LC|15231748:0018:HT|15231748:0492:HT|15231748:0493:HT|12914669:0493:LC|9461602:0492:LC|9461602:0493:LC|12574161:0004:LC|12574161:0019:LC|12914669:0492:LC
P62136	Q96S59	5499	10048	PPP1CA	RANBP9	22321011:0018:LC|21382349:0018:LC
P62136	Q96S65	5499	64651	PPP1CA	CSRNP1	22321011:0018:LC|25416956:0397:HT|25416956:1112:HT|25416956:0018:HT|25416956:1356:HT
P62136	Q96SB3	5499	84687	PPP1CA	PPP1R9B	22321011:0018:LC|10194355:0493:LC|15231748:0018:HT|10194355:0096:LC|15231748:0493:HT|20305656:0114:LC|10194355:0018:LC|20305656:0065:LC|20305656:0016:LC|10194355:0004:LC
P62136	Q99459	5499	988	PPP1CA	CDC5L	10827081:0492:LC|10827081:0493:LC|22940584:0434:LC
P62136	Q9H175	5499	81566	PPP1CA	CSRNP2	19389623:0096:LC|25416956:0397:HT|15231748:0018:HT|25416956:1112:HT|25416956:0018:HT|25416956:1356:HT|19389623:0047:LC
P62136	Q9ULJ8	5499	55607	PPP1CA	PPP1R9A	12052877:0493:LC|12052877:0492:LC|20305656:0016:LC|10504266:0493:LC|10504266:0492:LC|10504266:0018:LC|12052877:0018:LC
P62136	Q9Y2W2	5499	51729	PPP1CA	WBP11	22321011:0018:LC|22365833:0018:HT
P62136	Q9Y6H5	5499	9627	PPP1CA	SNCAIP	24902662:0428:LC|22321011:0018:LC|24902662:0018:LC
P62140	Q9H788	5500	63898	PPP1CB	SH2D4A	27107012:1356:LC|25416956:1112:HT|25416956:0397:HT|25416956:1356:HT|27107012:2215:LC
P62158	P62158			CALM1|CALM2|CALM3	CALM1|CALM2|CALM3	10757985:0493:LC|10757985:0492:LC|22803592:0114:LC|10075700:0493:LC|18384083:0114:LC|24419375:0114:LC|10075700:0492:LC
P62158	P68400		1457	CALM1|CALM2|CALM3	CSNK2A1	8206911:0493:LC|8639568:0493:LC|8206911:0492:LC|12901717:0415:LC|1520270:0493:LC|1520270:0492:LC|11827172:0492:LC|11827172:0493:LC|11827172:0096:LC|3472906:0415:LC|8639568:0492:LC
P62158	Q05586		2902	CALM1|CALM2|CALM3	GRIN1	9952395:0492:LC|12408866:0492:LC|9952395:0493:LC|12408866:0493:LC|9728925:0492:LC|9728925:0493:LC|8625412:0492:LC|PDB_3BYA:0114:LC|9009191:0493:LC|9009191:0492:LC|8625412:0493:LC
P62158	Q05682		800	CALM1|CALM2|CALM3	CALD1	11736632:0492:LC|9003189:0492:LC|11736632:0493:LC|9003189:0096:LC
P62158	Q08209		5530	CALM1|CALM2|CALM3	PPP3CA	18384083:0114:LC|PDB_2JZI:0114:LC|25144868:0114:LC
P62158	Q13033		29966	CALM1|CALM2|CALM3	STRN3	10681496:0492:LC|10681496:0493:LC|10748158:0493:LC|10748158:0492:LC
P62158	Q13557		817	CALM1|CALM2|CALM3	CAMK2D	20668654:0028:LC|20668654:0114:LC|20668654:0065:LC
P62158	Q13698		779	CALM1|CALM2|CALM3	CACNA1S	19473981:0114:LC
P62158	Q13936		775	CALM1|CALM2|CALM3	CACNA1C	16338416:0114:LC|16338416:0071:LC|20953164:0065:LC|20953164:0096:LC|20953164:0028:LC|19279214:0114:LC|22518098:0114:LC|20953164:0114:LC|19279214:0071:LC
P62158	Q14012		8536	CALM1|CALM2|CALM3	CAMK1	12475216:0492:LC|7559563:0492:LC|20668654:0065:LC
P62158	Q14524		6331	CALM1|CALM2|CALM3	SCN5A	16505387:0017:LC|11807557:0018:LC|22705208:0114:LC|16505387:0077:LC|22705208:0096:LC|22331908:0114:LC|25232683:0114:LC|15746172:0018:LC|11807557:0686:LC|21167176:0114:LC|21167176:0077:LC
P62158	Q14831		2917	CALM1|CALM2|CALM3	GRM7	10488094:0493:LC|10488094:0492:LC|15494036:0493:LC|15494036:0492:LC|11953448:0492:LC|11953448:0493:LC
P62158	Q15051		9657	CALM1|CALM2|CALM3	IQCB1	15723066:0018:LC|21602787:0018:LC|15723066:0004:LC|15723066:0493:LC
P62158	Q15746		4638	CALM1|CALM2|CALM3	MYLK	7947686:0096:LC|18462678:0114:LC|1519061:0114:LC|7947686:0492:LC
P62158	Q8WZ42		7273	CALM1|CALM2|CALM3	TTN	7607248:0030:LC|7607248:0004:LC|11178895:0492:LC
P62158	Q92913		2258	CALM1|CALM2|CALM3	FGF13	22705208:0114:LC
P62158	Q96RR4		10645	CALM1|CALM2|CALM3	CAMKK2	11395482:0492:LC|9822657:0492:LC
P62158	Q9H095		84223	CALM1|CALM2|CALM3	IQCG	24787902:0114:LC
P62158	Q9H1R3		85366	CALM1|CALM2|CALM3	MYLK2	22908850:0114:LC
P62158	Q9H2S1		3781	CALM1|CALM2|CALM3	KCNN2	11323678:0114:LC|11323678:0492:LC|19815520:0018:LC|11323678:0493:LC
P62158	Q9HD67		4651	CALM1|CALM2|CALM3	MYO10	18570893:0096:LC|11278607:0493:LC|18570893:0017:LC|11278607:0018:LC
P62158	Q9UIK4		23604	CALM1|CALM2|CALM3	DAPK2	PDB_1ZUZ:0114:LC|PDB_1WRZ:0114:LC
P62158	Q9Y283		27130	CALM1|CALM2|CALM3	INVS	21602787:0018:LC|15723066:0018:LC
P62158	V9HWA5			CALM1|CALM2|CALM3	HEL-S-14	2161834:0096:LC|2455687:0492:LC|2161834:0492:LC|2455687:0401:LC|2455687:0493:LC|2161834:0493:LC
P62158	W0S0X4			CALM1|CALM2|CALM3	PE1FE3	3472906:0492:LC|3350007:0492:LC|10411641:0492:LC
P62166	P62166	23413	23413	NCS1	NCS1	PDB_4GUK:0114:LC|11092894:0114:LC
P62166	Q9UBF8	23413	5298	NCS1	PI4KB	12244129:0493:LC|11526106:0096:LC|14607934:0493:LC|14607934:0492:LC|12244129:0492:LC|11526106:0004:LC|14607934:0004:LC|11526106:0493:LC|11526106:0492:LC
P62191	Q13200	5700	5708	PSMC1	PSMD2	19060904:0018:HT|16189514:0398:HT|10625621:0492:LC|10625621:0024:LC|19060904:0398:HT|25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|16189514:0018:HT|25416956:1356:HT|19490896:0007:LC|19060904:0397:HT|10625621:0096:LC|19490896:0028:LC
P62191	Q16401	5700	5711	PSMC1	PSMD5	10625621:0024:LC|10625621:0492:LC|25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT|10625621:0096:LC
P62195	Q14994	5705	9970	PSMC5	NR1I3	15604093:0018:HT|8603043:0018:LC
P62253	P62253	7326	7326	UBE2G1	UBE2G1	10521492:0492:LC|20061386:0415:LC|20061386:0096:LC|10521492:0018:LC
P62256	P62256	7328	7328	UBE2H	UBE2H	20061386:0415:LC|22496338:0114:LC
P62258	Q13671	7531	9610	YWHAE	RIN1	9144171:0493:LC|9144171:0492:LC|9144171:0018:LC|11784866:0492:LC|11784866:0493:LC|11784866:0018:LC
P62258	Q92934	7531	572	YWHAE	BAD	20936779:0398:HT|20936779:0018:HT|21988832:0018:HT|9369453:0018:LC
