Uniprot_A	Uniprot_B	Alt_A	Alt_B	Gene_A	Gene_B	pmid:method:quality
B4E1C1	Q13573		22938	B4E1C1	SNW1	15878163:0492:LC|15878163:0493:LC|15604093:0493:HT|15604093:0018:HT|15604093:0492:HT|15878163:0018:LC
B4E1C1	Q99683		4217	B4E1C1	MAP3K5	11003656:0018:LC|9743501:0493:LC|9743501:0492:LC|9743501:0018:LC|11003656:0493:LC|11003656:0492:LC
B4E1C1	Q9NS23		11186	B4E1C1	RASSF1	18566590:0018:LC|16810318:0493:LC|16810318:0492:LC|16810318:0018:LC|18566590:0493:LC|18566590:0492:LC
B4E3W2	P14625		7184	B4E3W2	HSP90B1	9596688:0018:LC|14499622:0018:LC|9596688:0004:LC|9596688:0401:LC
B4E3W2	Q9HB96		2178	B4E3W2	FANCE	12093742:0096:LC|11157805:0018:LC|16513431:0018:LC|16127171:0004:LC|12093742:0018:LC|12093742:0428:LC|12649160:0018:LC|16127171:0018:LC|11157805:0096:LC|16513431:0004:LC
B7Z2P9	B7Z2P9			B7Z2P9	B7Z2P9	20542005:0415:LC|18498246:0047:LC|18498246:0415:LC|19153599:0415:LC
B7Z2P9	O00141		6446	B7Z2P9	SGK1	20525693:0415:LC|16716084:0415:LC
B7Z2P9	P37088		6337	B7Z2P9	SCNN1A	11244092:0047:LC|16416336:0047:LC|14556380:0018:LC
B7Z2P9	P51168		6338	B7Z2P9	SCNN1B	16416336:0047:LC|11244092:0047:LC
B7Z2P9	P51170		6340	B7Z2P9	SCNN1G	16416336:0047:LC|11244092:0047:LC
B7Z3D6	B7Z8L6			B7Z3D6	B7Z8L6	20935635:0415:LC|21135039:0415:LC|21135039:0004:LC|21131960:0004:LC|21123648:0415:LC|21131960:0415:LC
B7Z3D6	P14635		891	B7Z3D6	CCNB1	8662825:0019:LC|15989971:0019:LC|8397207:0401:LC|8475101:0019:LC|8397207:0415:LC
B7Z3D6	P20248		890	B7Z3D6	CCNA2	15674323:0019:LC|19483727:0415:LC
B7Z3D6	P27694		6117	B7Z3D6	RPA1	8397206:0415:LC|8397207:0415:LC
B7Z3D6	Q02539		3024	B7Z3D6	HIST1H1A	10362260:0415:LC|9247342:0415:LC|8397206:0415:LC|8397207:0415:LC|9053846:0415:LC
B7Z3D6	Q16667		1033	B7Z3D6	CDKN3	8242750:0004:LC|8127873:0004:LC|8127873:0018:LC|8242750:0018:LC
B7Z3H9	O15085		9826	B7Z3H9	ARHGEF11	12183458:0018:LC|12421765:0018:HT
B7Z8L6	O75530		8726	B7Z8L6	EED	21123648:0096:LC|9742080:0096:LC|9584197:0018:LC|9742080:0004:LC|21123648:0415:LC|9742080:0018:LC|9584197:0004:LC
